cui,cue,nombre_escuela,nombre_utm,perido,modelo,mac_address,ip_publica,latitud,longitud,direccion,bw_gb,clientes,wan_appliances,wan_carrier,access_points,bw_educacion,bw_web,bw_streaming,bw_calls,bw_socialmedia,bw_updates,bw_otros
1409802,140508700,I.P.E.M. No 328 NUESTRA SEÃ‘ORA DE LOS REMEDIOS-CAPILLA DE LOS REMEDIOS,UTM - CAPILLA DE LOS REMEDIOS,mar-26,MX68,6c:c3:b2:4c:5e:74,153.67.181.66,-3.142.944,-6.383.269,47WRH5C8+6W,"5,52",11,1,Starlink,2,"1,55","1,21","0,99","0,66","0,44","0,39","0,28"
1409465,140360500,MARTINIANO FREITES-CAPILLA DE SAN ANTONIO,UTM - CAPILLA DE SAN ANTONIO,mar-26,MX68,e4:55:a8:54:0c:59,153.67.181.66,-3.151.714,-6.282.206,"-31.5104502000,-62.8208412000","16,13",132,1,Starlink,2,"4,52","3,55","2,90","1,94","1,29","1,13","0,81"
1408946,140575700,I.P.E.M. NÂº 432-CAPILLA DE SITON,UTM - CAPILLA DE SITON,mar-26,MX68,08:f1:b3:75:5f:11,153.67.181.66,-3.057.379,-6.365.248,"C8GX+F2J Capilla de SitÃ³n, CÃ³rdoba","24,73",117,1,Starlink,2,"6,92","5,44","4,45","2,97","1,98","1,73","1,24"
1408624,140115900,ALMAFUERTE-CAPILLA DEL CARMEN,UTM - CAPILLA DEL CARMEN - ALMAFUERTE,mar-26,MX68,6c:ef:bd:cb:ee:b5,200.189.31.109,-3.152.981,-632.677,"FPCJ+3WF Arroyo de Alvarez, CÃ³rdoba","14,17",100,1,Starlink,2,"3,97","3,12","2,55","1,70","1,13","0,99","0,71"
1409594,140396703,I.P.E.M. N 148 - GENERAL JOSE MARIA PAZ - ANEXO CAPILLA DEL CARMEN-CAPILLA DEL CARMEN,UTM - CAPILLA DEL CARMEN - JOSE MARIA PAZ ANEXO,mar-26,MX68,e4:55:a8:8e:ff:35,200.189.31.109,-315.322,-633.194,"-31.5322,-63.3194","15,15",71,1,Starlink,2,"4,24","3,33","2,73","1,82","1,21","1,06","0,76"
1408217,140030100,PATRICIAS ARGENTINAS-CAPILLA LA CANDELARIA,UTM - CAPILLA LA CANDELARIA,mar-26,MX68,08:f1:b3:7c:c2:c5,200.189.31.109,-31.097,-648.556,"-31.0970,-64.8556","13,37",279,1,Starlink,2,"3,74","2,94","2,41","1,60","1,07","0,94","0,67"
1408372,140059800,ALMAFUERTE-CAROLINA,UTM - CAROLINA,mar-26,MX68,6c:c3:b2:4c:5d:6d,148.227.69.218,-33.523.976,-64.212.945,"-33.523976, -64.212945","6,22",76,1,Starlink,2,"1,74","1,37","1,12","0,75","0,50","0,44","0,31"
1408197,140246700,ESCUELA PTE. JULIO A. ROCA-CARRILOBO,UTM - CARRILOBO,mar-26,MX68,e4:55:a8:54:0c:89,148.227.69.218,-3.187.579,-6.311.652,"4VFM+M9Q Carrilobo, CÃ³rdoba","8,23",27,1,Starlink,2,"2,30","1,81","1,48","0,99","0,66","0,58","0,41"
1408243,140033900,JOSE GABRIEL BROCHERO-CASA BLANCA,UTM - CASA BLANCA,mar-26,MX68,14:9f:43:29:6f:75,148.227.69.218,-3.137.372.505,-651.582.720.003,"-31.37372505	,-65.1582720003","71,72",497,1,Starlink,6,"20,08","15,78","12,91","8,61","5,74","5,02","3,59"
1408439,140076300,GENERAL JOSE DE SAN MARTIN-CASA GRANDE,UTM - CASA GRANDE,mar-26,MX68,6c:ef:bd:cb:9b:0c,129.224.215.48,-31.154.486,-64.472.965,"-31.1544860000,-64.4729650000","1,55",10,1,Starlink,2,"0,43","0,34","0,28","0,19","0,12","0,11","0,08"
